codDaneDpto;Dpto;codDaneMunicipio;Municipio;desagregacionCultivo;Cultivo;cicloDelCultivo;grupoCultivo;Subgrupo;Anio;Periodo;areaSembradaHa;areaCosechadaHa;produccionTon;rendimientoTonHa;nombreCientificoCultivo;codCultivo;estadoFisicoCultivo
15;Boyacá;15646;Samacá;Remolacha;Remolacha;Transitorio;Hortalizas;Hortalizas de raíz;2021;A;15.0;14.25;356.25;25.0;Beta vulgaris;1052700;En fresco
15;Boyacá;15646;Samacá;Remolacha;Remolacha;Transitorio;Hortalizas;Hortalizas de raíz;2021;B;25.0;23.75;522.5;22.0;Beta vulgaris;1052700;En fresco
15;Boyacá;15646;Samacá;Remolacha;Remolacha;Transitorio;Hortalizas;Hortalizas de raíz;2022;A;15.0;24.5;612.5;25.0;Beta vulgaris;1052700;En fresco
15;Boyacá;15646;Samacá;Remolacha;Remolacha;Transitorio;Hortalizas;Hortalizas de raíz;2022;B;15.0;14.3;357.5;25.0;Beta vulgaris;1052700;En fresco
15;Boyacá;15646;Samacá;Remolacha;Remolacha;Transitorio;Hortalizas;Hortalizas de raíz;2023;A;25.0;15.0;360.0;24.0;Beta vulgaris;1052700;En fresco
15;Boyacá;15646;Samacá;Remolacha;Remolacha;Transitorio;Hortalizas;Hortalizas de raíz;2023;B;15.0;23.0;552.0;24.0;Beta vulgaris;1052700;En fresco
15;Boyacá;15646;Samacá;Tomate;Tomate;Transitorio;Hortalizas;Hortalizas de fruto;2019;A;3.0;3.0;108.0;36.0;Lycopersicon esculentum;1052901;En fresco
15;Boyacá;15646;Samacá;Tomate;Tomate;Transitorio;Hortalizas;Hortalizas de fruto;2019;B;8.0;8.0;160.0;20.0;Lycopersicon esculentum;1052901;En fresco
15;Boyacá;15646;Samacá;Tomate;Tomate;Transitorio;Hortalizas;Hortalizas de fruto;2020;A;10.0;10.0;220.0;22.0;Lycopersicon esculentum;1052901;En fresco
15;Boyacá;15646;Samacá;Tomate;Tomate;Transitorio;Hortalizas;Hortalizas de fruto;2020;B;13.0;13.0;286.0;22.0;Lycopersicon esculentum;1052901;En fresco
15;Boyacá;15646;Samacá;Tomate;Tomate;Transitorio;Hortalizas;Hortalizas de fruto;2021;A;10.0;9.5;291.84;30.72;Lycopersicon esculentum;1052901;En fresco
15;Boyacá;15646;Samacá;Tomate;Tomate;Transitorio;Hortalizas;Hortalizas de fruto;2021;B;13.0;12.5;312.5;25.0;Lycopersicon esculentum;1052901;En fresco
15;Boyacá;15646;Samacá;Tomate invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de fruto;2022;A;13.0;12.5;500.0;40.0;Lycopersicon esculentum;1052902;En fresco
15;Boyacá;15646;Samacá;Tomate invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de fruto;2022;B;13.0;13.0;520.0;40.0;Lycopersicon esculentum;1052902;En fresco
15;Boyacá;15646;Samacá;Tomate invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de fruto;2023;A;15.0;14.5;551.0;38.0;Lycopersicon esculentum;1052902;En fresco
15;Boyacá;15646;Samacá;Tomate invernadero;Tomate;Transitorio;Hortalizas;Hortalizas de fruto;2023;B;16.0;16.0;608.0;38.0;Lycopersicon esculentum;1052902;En fresco
15;Boyacá;15646;Samacá;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2019;A;120.0;120.0;2160.0;18.0;Daucus carota;1053000;En fresco
15;Boyacá;15646;Samacá;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2019;B;120.0;120.0;3600.0;30.0;Daucus carota;1053000;En fresco
15;Boyacá;15646;Samacá;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2020;A;135.0;135.0;4050.0;30.0;Daucus carota;1053000;En fresco
15;Boyacá;15646;Samacá;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2020;B;90.0;90.0;2430.0;27.0;Daucus carota;1053000;En fresco
15;Boyacá;15646;Samacá;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2021;A;39.21;37.24;837.9;22.5;Daucus carota;1053000;En fresco
15;Boyacá;15646;Samacá;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2021;B;80.0;78.4;1960.0;25.0;Daucus carota;1053000;En fresco
15;Boyacá;15646;Samacá;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2022;A;55.0;54.5;1226.25;22.5;Daucus carota;1053000;En fresco
15;Boyacá;15646;Samacá;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2022;B;80.0;78.0;1950.0;25.0;Daucus carota;1053000;En fresco
15;Boyacá;15646;Samacá;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2023;A;40.0;32.0;720.0;22.5;Daucus carota;1053000;En fresco
15;Boyacá;15646;Samacá;Zanahoria;Zanahoria;Transitorio;Hortalizas;Hortalizas de raíz;2023;B;40.0;20.0;450.8;22.54;Daucus carota;1053000;En fresco
15;Boyacá;15660;San Eduardo;Arracacha;Arracacha;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2019;A;5.0;5.0;25.0;5.0;Arracacia xanthorrhiza;1080200;En fresco
15;Boyacá;15660;San Eduardo;Arracacha;Arracacha;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2019;B;3.0;3.0;15.0;5.0;Arracacia xanthorrhiza;1080200;En fresco
15;Boyacá;15660;San Eduardo;Arracacha;Arracacha;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2020;A;1.0;1.0;9.0;9.0;Arracacia xanthorrhiza;1080200;En fresco
15;Boyacá;15660;San Eduardo;Arracacha;Arracacha;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2020;B;1.0;1.0;9.0;9.0;Arracacia xanthorrhiza;1080200;En fresco
15;Boyacá;15660;San Eduardo;Arracacha;Arracacha;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2021;A;1.0;1.0;9.0;9.0;Arracacia xanthorrhiza;1080200;En fresco
15;Boyacá;15660;San Eduardo;Arracacha;Arracacha;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2021;B;1.0;1.0;9.0;9.0;Arracacia xanthorrhiza;1080200;En fresco
15;Boyacá;15660;San Eduardo;Arracacha;Arracacha;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2022;A;1.0;1.0;9.0;9.0;Arracacia xanthorrhiza;1080200;En fresco
15;Boyacá;15660;San Eduardo;Arracacha;Arracacha;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2022;B;1.0;1.0;9.0;9.0;Arracacia xanthorrhiza;1080200;En fresco
15;Boyacá;15660;San Eduardo;Arracacha;Arracacha;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2023;A;1.0;1.0;9.0;9.0;Arracacia xanthorrhiza;1080200;En fresco
15;Boyacá;15660;San Eduardo;Arracacha;Arracacha;Transitorio;Raíces y tubérculos;Raíces y tubérculos;2023;B;1.0;1.0;9.0;9.0;Arracacia xanthorrhiza;1080200;En fresco
15;Boyacá;15660;San Eduardo;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2019;A;4.0;4.0;2.8;0.7;Pisum sativum;1060100;Grano
15;Boyacá;15660;San Eduardo;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2020;A;2.0;2.0;0.934579439252336;0.47;Pisum sativum;1060100;Grano
15;Boyacá;15660;San Eduardo;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2020;B;2.0;2.0;0.934579439252336;0.47;Pisum sativum;1060100;Grano
15;Boyacá;15660;San Eduardo;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2021;A;1.0;1.0;0.5;0.5;Pisum sativum;1060100;Grano
15;Boyacá;15660;San Eduardo;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2021;B;1.0;1.0;0.5;0.5;Pisum sativum;1060100;Grano
15;Boyacá;15660;San Eduardo;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2022;A;1.0;0.5;0.25;0.5;Pisum sativum;1060100;Grano
15;Boyacá;15660;San Eduardo;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2022;B;1.5;1.5;1.05;0.7;Pisum sativum;1060100;Grano
15;Boyacá;15660;San Eduardo;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2023;A;1.0;1.5;1.05;0.7;Pisum sativum;1060100;Grano
15;Boyacá;15660;San Eduardo;Arveja;Arveja;Transitorio;Leguminosas;Leguminosas;2023;B;1.5;1.5;1.05;0.7;Pisum sativum;1060100;Grano
15;Boyacá;15660;San Eduardo;Café;Café;Permanente;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;2019;C;260.0;226.0;282.0;1.25;Coffea arabica;2030300;Pergamino o seco de trilla
15;Boyacá;15660;San Eduardo;Café;Café;Permanente;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;2020;C;269.0;230.0;266.0;1.16;Coffea arabica;2030300;Pergamino o seco de trilla
15;Boyacá;15660;San Eduardo;Café;Café;Permanente;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;2021;C;273.44;237.69;344.6505;1.45;Coffea arabica;2030300;Pergamino o seco de trilla
15;Boyacá;15660;San Eduardo;Café;Café;Permanente;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;2022;C;291.97;237.25;309.69;1.31;Coffea arabica;2030300;Pergamino o seco de trilla
15;Boyacá;15660;San Eduardo;Café;Café;Permanente;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;2023;C;292.86;242.44;313.73;1.29;Coffea arabica;2030300;Pergamino o seco de trilla
15;Boyacá;15660;San Eduardo;Caña miel;Caña;Permanente;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;2019;C;69.0;68.0;408.0;6.0;Saccharum officinarum;2030403;Caña o verde
